p_game,p_k_percent,batting_avg,slg_percent,on_base_percent,p_era,winning?
15,24,0.255,0.454,0.341,5.54,No
30,17.2,0.252,0.434,0.29,4.16,No
38,18.8,0.259,0.446,0.321,4.68,No
31,23.6,0.248,0.436,0.358,4.56,No
5,19,0.34,0.702,0.39,7.25,No
33,28.6,0.203,0.309,0.279,3.34,No
40,20,0.27,0.454,0.342,6.75,No
40,24.4,0.293,0.486,0.378,4.75,No
67,26.3,0.265,0.431,0.368,5.21,No
18,13.1,0.283,0.48,0.348,4.41,No
30,18,0.279,0.497,0.334,5.32,No
46,18.2,0.29,0.402,0.32,3.95,No
22,20,0.285,0.465,0.329,4.08,No
30,18.2,0.288,0.511,0.34,5.79,No
42,19.5,0.244,0.435,0.329,5.29,No
22,21.1,0.282,0.47,0.415,8.8,No
26,18.9,0.232,0.4,0.324,3.2,No
41,25.2,0.269,0.483,0.327,5.06,No
9,18.8,0.336,0.586,0.422,11.27,No
34,25.2,0.202,0.298,0.252,3.24,No
24,14.2,0.276,0.439,0.323,4.22,No
22,29.5,0.224,0.374,0.26,3.55,No
28,18.1,0.265,0.408,0.317,3.37,No
7,11.1,0.29,0.419,0.389,6.35,No
25,16.7,0.248,0.437,0.298,4.67,No
29,28.6,0.286,0.483,0.37,6.43,No
14,16.7,0.291,0.518,0.356,6.26,No
31,20.6,0.234,0.363,0.305,3.71,No
35,20.2,0.256,0.46,0.295,4.27,No
9,19.3,0.286,0.422,0.343,6.57,No
13,25.6,0.257,0.39,0.325,3.42,No
25,30.7,0.188,0.396,0.289,3.9,No
6,25.2,0.32,0.49,0.378,9.26,No
24,19.5,0.221,0.356,0.333,5.79,No
67,20,0.264,0.411,0.328,4.15,No
74,20.8,0.238,0.316,0.351,3.42,No
67,31.7,0.211,0.39,0.324,3.86,No
35,13,0.304,0.494,0.352,4.9,No
6,29.5,0.183,0.303,0.31,3.07,No
66,22.5,0.28,0.431,0.326,4.61,No
28,37.9,0.143,0.184,0.267,1.86,No
71,30.7,0.198,0.403,0.29,3.44,No
14,17.7,0.251,0.412,0.361,4.91,No
36,19.1,0.296,0.481,0.356,4.74,No
14,14.8,0.277,0.462,0.332,4.93,No
16,14.1,0.297,0.537,0.363,8.06,No
30,21.4,0.318,0.491,0.384,6.68,No
67,23.4,0.226,0.345,0.325,3.65,No
34,22.5,0.323,0.488,0.369,5.21,No
31,19,0.311,0.476,0.397,4.01,No
35,23.7,0.254,0.449,0.353,6.3,No
32,26.2,0.217,0.317,0.352,5.63,No
30,33.5,0.223,0.372,0.267,3.23,No
36,24.1,0.259,0.42,0.346,4.04,No
32,25.5,0.253,0.402,0.293,3.75,No
26,27,0.225,0.385,0.301,4.19,No
68,21.9,0.235,0.408,0.317,3.9,No
18,26.1,0.255,0.467,0.309,4.52,No
14,19.6,0.291,0.492,0.347,5.04,No
10,16.3,0.302,0.5,0.382,4.39,No
24,20.6,0.243,0.429,0.304,4.21,No
13,22.8,0.177,0.315,0.31,4,No
54,28.3,0.213,0.289,0.304,2.82,No
27,16.8,0.241,0.343,0.328,5.59,No
27,17.7,0.242,0.373,0.312,3.46,No
16,14.3,0.29,0.505,0.335,5.35,No
24,21.8,0.251,0.489,0.304,4.8,No
62,25.3,0.23,0.408,0.287,4.21,No
69,29.2,0.182,0.277,0.299,2.57,No
52,22.7,0.294,0.389,0.343,4.66,No
26,14.7,0.292,0.475,0.362,5.81,No
72,25.6,0.228,0.398,0.337,4.43,No
15,19.9,0.255,0.397,0.318,3.89,No
26,14.5,0.268,0.407,0.321,5.09,No
68,23,0.217,0.287,0.289,2.81,No
17,18.1,0.283,0.491,0.345,6.41,No
30,26.9,0.256,0.487,0.317,5.83,No
29,22.3,0.265,0.405,0.32,3.82,No
9,16.7,0.253,0.406,0.301,4.23,No
25,22.5,0.233,0.444,0.369,6.38,No
26,29.5,0.217,0.401,0.326,2.91,No
31,14.9,0.28,0.44,0.324,5.4,No
65,30.8,0.164,0.272,0.242,2.79,No
28,21.2,0.263,0.505,0.381,7.23,No
63,31.6,0.22,0.369,0.307,3.22,No
32,13.2,0.29,0.472,0.354,5.28,No
57,21.5,0.292,0.448,0.356,3.4,No
25,27.3,0.252,0.389,0.308,3.43,No
33,21.6,0.242,0.362,0.29,3.02,No
21,24.9,0.215,0.356,0.279,3.66,No
26,19.8,0.278,0.485,0.379,5.04,No
41,20.3,0.278,0.489,0.351,5.51,No
31,14.5,0.333,0.495,0.419,7.33,No
33,29.3,0.21,0.345,0.263,2.81,No
24,12.5,0.311,0.538,0.359,6.46,No
60,34.2,0.207,0.419,0.292,5.59,No
71,26.8,0.198,0.317,0.291,1.98,No
38,17.3,0.295,0.614,0.373,6.71,No
32,32.1,0.21,0.401,0.266,2.84,No
10,19.3,0.231,0.462,0.303,2.8,No
9,15.9,0.2,0.343,0.268,3.15,No
57,19.1,0.212,0.374,0.306,3.2,No
45,24.8,0.217,0.401,0.324,4.83,No
29,21.4,0.269,0.48,0.322,4.48,No
29,20.5,0.248,0.444,0.336,4.43,No
25,24.2,0.251,0.525,0.345,6.3,No
22,29,0.205,0.253,0.32,4.3,No
22,23.9,0.234,0.426,0.288,4.58,No
16,15.7,0.246,0.39,0.342,6.23,No
32,26.6,0.232,0.372,0.293,3.37,No
20,23.8,0.233,0.437,0.331,4.26,No
45,23.2,0.266,0.521,0.337,6.33,No
32,27.4,0.277,0.437,0.327,4.74,No
72,28.6,0.25,0.43,0.317,3.84,No
30,26.4,0.232,0.393,0.294,3.48,No
24,15.2,0.252,0.465,0.373,6.21,No
28,26.1,0.343,0.619,0.391,8.37,No
5,12.5,0.333,0.722,0.413,8.69,No
47,21.1,0.213,0.373,0.374,5.22,No
16,24.4,0.279,0.461,0.327,5.26,No
30,19.3,0.234,0.418,0.297,3.71,No
6,19.7,0.245,0.415,0.316,3.71,No
71,26,0.209,0.309,0.314,3.73,No
23,23.2,0.232,0.42,0.299,4.53,No
38,19.7,0.178,0.287,0.259,3,No
40,19.5,0.226,0.376,0.325,3.53,No
27,25,0.218,0.348,0.278,3.15,No
13,17,0.309,0.543,0.411,8.74,No
23,21.2,0.253,0.491,0.325,6.06,No
10,13.5,0.281,0.6,0.348,6.64,No
29,23.9,0.235,0.431,0.316,5.13,No
15,20.1,0.344,0.613,0.38,7.04,No
15,17.6,0.364,0.784,0.431,9.9,No
34,34,0.176,0.286,0.298,2.94,No
27,23,0.277,0.515,0.327,5.6,No
32,27.1,0.213,0.364,0.286,3.18,No
16,13.7,0.322,0.596,0.373,8.07,No
32,31.9,0.223,0.364,0.305,3.91,No
26,21,0.227,0.374,0.298,3.24,No
48,31.8,0.228,0.4,0.272,3.7,No
25,27.5,0.238,0.416,0.342,5.13,No
29,25.8,0.27,0.504,0.336,6.28,No
24,34.6,0.189,0.306,0.253,2.37,No
23,20.8,0.285,0.489,0.351,5.51,No
29,21.7,0.275,0.466,0.332,5.47,No
22,21.9,0.22,0.327,0.313,3.14,No
17,14.3,0.248,0.385,0.303,3.77,No
63,28.4,0.249,0.449,0.349,6.04,No
42,27.9,0.229,0.357,0.297,3.83,No
8,13.4,0.246,0.405,0.376,4.54,No
30,20.9,0.287,0.478,0.353,4.28,No
25,22.4,0.28,0.524,0.362,6.61,No
5,18.8,0.295,0.534,0.386,7.4,No
34,20.9,0.214,0.389,0.297,4.04,No
54,30.2,0.211,0.379,0.347,5.6,No
26,22.7,0.224,0.427,0.263,3.62,No
64,22.2,0.293,0.455,0.348,4.38,No
9,19.9,0.28,0.589,0.352,5.77,No
28,23.7,0.227,0.353,0.28,3.04,No
14,11.8,0.31,0.554,0.346,7.64,No
31,27.9,0.219,0.394,0.276,3.53,No
32,16.3,0.275,0.424,0.32,4.24,No
21,16.4,0.316,0.515,0.397,6.83,No
64,24,0.216,0.311,0.307,3.18,No
17,25.9,0.215,0.349,0.3,3.62,No
57,22.8,0.195,0.268,0.274,1.51,No
61,22,0.252,0.402,0.31,3.07,No
69,25.4,0.189,0.299,0.32,3.45,No
59,23.2,0.21,0.366,0.28,3.05,No
69,30,0.176,0.294,0.315,3.24,No
20,23.8,0.286,0.482,0.357,6.99,No
18,22.4,0.276,0.461,0.305,4.17,No
44,29,0.192,0.365,0.237,4.11,No
9,14.9,0.319,0.534,0.366,5.87,No
61,32.2,0.194,0.354,0.266,2.78,No
32,16.8,0.291,0.451,0.344,5.07,No
63,34.6,0.195,0.285,0.292,3.45,No
11,22.2,0.234,0.446,0.329,4.5,No
27,22.8,0.214,0.411,0.307,3.56,No
43,20.3,0.27,0.439,0.338,4.33,No
24,23.6,0.316,0.469,0.391,5.16,No
61,25.8,0.226,0.349,0.294,3.78,No
58,15.9,0.296,0.409,0.383,5.6,No
42,20.9,0.247,0.424,0.32,4.66,No
25,29.4,0.237,0.433,0.312,4.74,No
40,17.5,0.307,0.538,0.386,6.58,No
12,15.5,0.221,0.365,0.349,4.97,No
48,21.7,0.26,0.475,0.369,7.55,No
62,17.1,0.245,0.394,0.317,4.39,No
27,26.5,0.234,0.332,0.289,3.03,No
11,23.6,0.265,0.529,0.316,4.18,No
62,39.4,0.176,0.339,0.25,3.06,No
43,20.1,0.291,0.436,0.34,4.98,No
32,22.6,0.233,0.408,0.333,3.38,No
23,21.6,0.269,0.445,0.301,5.07,No
32,26.2,0.219,0.349,0.263,2.96,No
26,21.2,0.276,0.501,0.361,5.48,No
68,23.1,0.251,0.404,0.34,3.55,No
20,27.5,0.233,0.385,0.292,3.07,No
41,19.3,0.255,0.429,0.306,3.81,No
16,15.3,0.33,0.514,0.403,8.49,No
22,27.5,0.217,0.386,0.273,2.9,No
24,21.5,0.308,0.423,0.388,7.11,No
28,35.6,0.201,0.273,0.248,2.43,No
28,21.5,0.252,0.445,0.355,4.82,No
33,27.7,0.234,0.396,0.306,3.75,No
32,24,0.268,0.545,0.357,6.35,No
32,17.1,0.252,0.37,0.364,4.94,No
25,27.5,0.194,0.383,0.293,4.95,No
20,25.3,0.258,0.489,0.296,4.19,No
6,14.6,0.241,0.436,0.318,3.28,No
29,17.4,0.229,0.354,0.312,4.56,No
30,17.2,0.19,0.27,0.293,3.38,No
18,26.9,0.224,0.418,0.282,4.05,No
10,21.7,0.298,0.496,0.384,6.67,No
51,21.8,0.233,0.399,0.319,3.16,No
71,21.6,0.216,0.31,0.31,3.18,No
13,14,0.307,0.474,0.364,4.61,No
31,22.4,0.254,0.406,0.348,5.75,No
37,24.1,0.278,0.536,0.343,4.78,No
7,15,0.292,0.504,0.362,5.86,No
72,17.8,0.234,0.31,0.294,2.26,No
11,22.5,0.201,0.332,0.321,3.75,No
7,23.3,0.247,0.505,0.392,5.81,No
67,31.4,0.193,0.386,0.235,3.12,No
18,18.1,0.256,0.538,0.322,6.37,No
78,11.8,0.233,0.395,0.262,3.92,Yes
29,15.6,0.344,0.58,0.383,6.37,Yes
30,27.1,0.192,0.267,0.256,2.14,Yes
53,31.1,0.175,0.364,0.247,3.5,Yes
24,23.2,0.221,0.371,0.297,3.58,Yes
65,19.9,0.261,0.406,0.32,4.28,Yes
24,25.4,0.241,0.425,0.29,4.68,Yes
28,14.5,0.285,0.478,0.346,4.71,Yes
33,24,0.223,0.365,0.276,3.19,Yes
62,19.6,0.193,0.285,0.258,3.92,Yes
47,20,0.257,0.395,0.319,3.09,Yes
64,22.3,0.228,0.316,0.302,2.23,Yes
32,28.7,0.235,0.336,0.38,4.73,Yes
39,17.8,0.272,0.428,0.334,4.03,Yes
35,17,0.327,0.55,0.344,6.57,Yes
62,24.3,0.196,0.33,0.234,2.72,Yes
46,17.5,0.222,0.406,0.301,4.34,Yes
23,29.3,0.207,0.351,0.285,3.18,Yes
67,23.4,0.235,0.384,0.268,3.06,Yes
69,25.7,0.239,0.374,0.351,4.21,Yes
53,23,0.218,0.358,0.286,4.11,Yes
22,19.2,0.265,0.453,0.299,3.62,Yes
67,15.8,0.217,0.279,0.271,2.37,Yes
28,22.3,0.252,0.447,0.302,5.05,Yes
18,24.9,0.24,0.336,0.308,3.76,Yes
71,31.2,0.192,0.332,0.282,3.34,Yes
39,22.7,0.287,0.455,0.351,5.07,Yes
21,31.7,0.219,0.4,0.308,4.94,Yes
26,20.2,0.242,0.439,0.3,4.67,Yes
28,19.2,0.267,0.446,0.358,4.15,Yes
67,26.2,0.231,0.512,0.289,4.83,Yes
30,17.9,0.267,0.457,0.305,5.11,Yes
43,26.6,0.235,0.47,0.326,4.41,Yes
27,29.4,0.211,0.333,0.284,1.75,Yes
64,32.4,0.208,0.297,0.248,2.25,Yes
9,28.4,0.269,0.419,0.333,3.16,Yes
17,26.4,0.199,0.364,0.276,3.22,Yes
69,42.3,0.174,0.318,0.199,2.54,Yes
48,27.5,0.174,0.286,0.258,2.86,Yes
80,16.9,0.243,0.328,0.282,2.22,Yes
31,26.7,0.265,0.531,0.339,6.75,Yes
68,19.6,0.241,0.335,0.267,2.95,Yes
29,23.7,0.267,0.443,0.302,3.67,Yes
54,35.7,0.211,0.405,0.267,3.31,Yes
68,31.2,0.227,0.401,0.297,3.59,Yes
36,30.7,0.186,0.355,0.3,3.55,Yes
65,27.5,0.248,0.435,0.328,3.94,Yes
17,31.7,0.182,0.374,0.257,2.59,Yes
27,23.9,0.175,0.25,0.246,2.31,Yes
31,20.4,0.258,0.435,0.298,4.37,Yes
61,39.9,0.182,0.359,0.317,3.36,Yes
60,33.2,0.176,0.352,0.294,4.07,Yes
32,29.1,0.215,0.321,0.263,2.78,Yes
28,19.8,0.238,0.354,0.345,5.85,Yes
41,18.9,0.228,0.383,0.28,3.59,Yes
57,31.8,0.212,0.399,0.347,5.26,Yes
31,19,0.286,0.51,0.34,5.82,Yes
47,17.2,0.308,0.478,0.399,7.56,Yes
12,21.6,0.237,0.41,0.313,5.53,Yes
59,28.9,0.232,0.401,0.293,3.23,Yes
29,25.7,0.189,0.329,0.293,2.48,Yes
28,16.6,0.26,0.527,0.314,5.44,Yes
29,24.4,0.245,0.42,0.32,4.59,Yes
29,23.2,0.238,0.422,0.299,4.3,Yes
30,22.3,0.225,0.4,0.294,4.47,Yes
23,22.2,0.287,0.462,0.343,4.35,Yes
39,16.7,0.294,0.552,0.391,7.55,Yes
15,27.2,0.202,0.369,0.314,3.23,Yes
24,24,0.254,0.48,0.316,5.36,Yes
60,28.7,0.207,0.35,0.287,2.79,Yes
60,28.4,0.207,0.319,0.276,2.7,Yes
62,27.9,0.234,0.351,0.363,5.17,Yes
41,23.5,0.244,0.407,0.294,3.45,Yes
7,19,0.2,0.324,0.306,2.15,Yes
28,28.8,0.144,0.231,0.345,2.59,Yes
49,26.4,0.241,0.408,0.315,3.13,Yes
60,37.8,0.206,0.357,0.284,3.79,Yes
31,26.5,0.234,0.417,0.313,4.53,Yes
71,29.7,0.223,0.328,0.297,2.42,Yes
23,19.5,0.206,0.411,0.301,4.5,Yes
23,21.9,0.237,0.331,0.328,3.52,Yes
31,25.9,0.245,0.476,0.306,4.34,Yes
69,26.7,0.206,0.284,0.295,3.6,Yes
33,20.2,0.293,0.485,0.375,6.07,Yes
34,25.9,0.237,0.505,0.324,4.26,Yes
23,20.2,0.189,0.368,0.316,4.28,Yes
62,33.6,0.181,0.31,0.265,2.14,Yes
27,30.9,0.214,0.375,0.315,4.2,Yes
43,35.2,0.216,0.444,0.274,3.43,Yes
35,23.8,0.204,0.307,0.267,2.84,Yes
46,20.1,0.256,0.372,0.34,4.33,Yes
27,20.7,0.233,0.33,0.295,3.52,Yes
61,28.7,0.246,0.322,0.34,3.4,Yes
44,18.7,0.296,0.422,0.36,6.39,Yes
58,25.3,0.196,0.38,0.253,2.62,Yes
14,36.2,0.176,0.319,0.241,2.66,Yes
39,18.7,0.233,0.368,0.35,4.09,Yes
46,28.2,0.237,0.399,0.313,3.5,Yes
57,21.1,0.229,0.34,0.332,3.42,Yes
27,29.7,0.176,0.275,0.248,2.45,Yes
47,39,0.2,0.371,0.287,4.4,Yes
19,22.2,0.232,0.393,0.303,4.31,Yes
56,24.5,0.202,0.346,0.296,2.52,Yes
53,27.5,0.18,0.253,0.284,1.77,Yes
62,21.7,0.214,0.333,0.273,2,Yes
68,25.5,0.233,0.367,0.309,3.63,Yes
49,23.8,0.266,0.467,0.347,5.34,Yes
24,19.2,0.29,0.491,0.356,6.63,Yes
40,19.6,0.234,0.373,0.3,2.89,Yes
55,26.2,0.227,0.429,0.339,3.06,Yes
21,22.7,0.25,0.435,0.352,4.71,Yes
16,33.1,0.229,0.373,0.299,3.17,Yes
15,21.6,0.243,0.313,0.351,3.64,Yes
64,27.1,0.213,0.325,0.382,4.2,Yes
23,26.6,0.233,0.413,0.31,4.3,Yes
33,27.7,0.291,0.534,0.376,6.37,Yes
31,24.8,0.192,0.397,0.279,2.4,Yes
63,26.8,0.234,0.383,0.327,3.97,Yes
64,27.3,0.183,0.294,0.273,2.88,Yes
30,35.2,0.158,0.267,0.312,2.7,Yes
57,24.4,0.215,0.281,0.265,2.17,Yes
28,15.7,0.287,0.421,0.327,4.42,Yes
27,22.4,0.281,0.414,0.358,4.91,Yes
60,45.5,0.127,0.193,0.228,1.23,Yes
16,15.6,0.202,0.37,0.305,4.19,Yes
39,25.6,0.194,0.255,0.266,1.36,Yes
23,22.9,0.241,0.456,0.342,4.35,Yes
34,21.6,0.279,0.441,0.346,4.19,Yes
65,37.7,0.207,0.367,0.242,2.57,Yes
5,30,0.168,0.347,0.21,4.05,Yes
41,33.5,0.126,0.296,0.255,2.25,Yes
57,28.5,0.197,0.35,0.28,2.81,Yes
39,23.7,0.288,0.503,0.373,6.56,Yes
22,17.7,0.263,0.469,0.333,4.74,Yes
30,21.5,0.269,0.462,0.355,5.01,Yes
27,22.3,0.275,0.427,0.344,4.51,Yes
37,23,0.274,0.478,0.333,6,Yes
36,27.6,0.211,0.366,0.276,2.38,Yes
52,27.1,0.206,0.388,0.367,5.96,Yes
26,19.6,0.297,0.457,0.374,5.39,Yes
70,23.1,0.223,0.424,0.295,4.73,Yes
61,27.1,0.206,0.309,0.262,3.4,Yes
